DHB,year,Education-No qualification,Education-level 1,Education-level 2,Education-level 3,Education-level 4,Education-level 5,Education-level 6,Education-level 7,Education-level 8,Education-level 9,Education-level 10,Education-≥ level 1,Education-≥ level 2,Education-≥ level 3,Education-≥ level 4,Education-≥ level 5,Education-≥ level 6,Education-≥ level 7,Education-≥ level 8,Education-≥ level 9,Education-≥ level 10
Northland,2013,27.40434640425722,16.61563159615899,11.193031483188156,7.016083479501739,11.243571067574397,4.040193834170705,5.238279275797485,8.767131432648572,1.8342896215477005,1.4597021137437942,0.3240479234176651,72.59565359574279,55.98002199958379,44.78699051639563,37.770907036893895,26.527335969319495,22.487142135148787,17.248862859351306,8.481731426702737,6.64744180515504,5.187739691411252
Waitemata,2013,15.817874133912321,11.568057728535393,10.413008078163415,10.246176442415148,9.07995146716051,4.81017912449312,4.901178198537629,15.885724320699895,3.0588460678821163,3.3334397649988823,0.680896580350586,84.18212586608767,72.6140681375523,62.20106005938887,51.954883616973724,42.87493214981321,38.064753025320094,33.163574826782465,17.277850506082572,14.219004438200457,10.885564673201571
Auckland,2013,12.170402654741757,7.81863046335076,8.193017121571668,11.340323144847929,5.810556569256805,4.663761073241753,4.676996965199058,23.28949731973188,4.615544609683001,5.658343811747799,1.2583551567980487,87.82959734525824,80.01096688190748,71.81794976033581,60.477626615487885,54.66707004623108,50.00330897298933,45.32631200779027,22.0368146880584,17.4212700783754,11.762926266627602
Counties Manukau,2013,23.12173466321595,12.265550030533019,10.140839609565074,9.942132658699004,8.937935580175832,4.596431029302005,4.025512033886805,11.698508243915205,1.9075867283142867,2.0839997285953844,0.29369856640204717,76.87826533678405,64.61271530625103,54.471875696685956,44.529743037986954,35.591807457811115,30.995376428509104,26.969864394622306,15.271356150707106,13.36376942239282,11.279769693797434
Waikato,2013,24.848186048748815,14.594581594737917,11.163886918146728,8.790178088286577,10.646817618835753,4.087252438041871,4.713748030927959,11.35147484998978,2.2534601556017844,2.1043517995214103,0.6625701951635983,75.15181395125119,60.55723235651327,49.39334543836654,40.60316735007996,29.956349731244202,25.86909729320233,21.15534926227437,9.803874412284586,7.550414256682799,5.446062457161389
Lakes,2013,24.853652915418298,15.662595067988017,11.435814703848814,7.951140815856188,11.99354690020742,4.4480294998847665,5.079511408158561,9.859414611661673,2.0004609356994703,1.6086655911500345,0.4471076284858262,75.1463470845817,59.483752016593684,48.04793731274487,40.096796496888686,28.103249596681266,23.655220096796498,18.57570868863793,8.716294076976254,6.715833141276789,5.107167550126761
Bay of Plenty,2013,24.366344943348718,15.392362568191356,11.24422996223248,7.5577003776752,11.7079311791859,4.60973562736047,5.784725136382711,10.26647083508183,2.020562316407889,1.4855224506924045,0.2937473772555602,75.63365505665128,60.241292488459926,48.997062526227445,41.43936214855225,29.731430969366343,25.12169534200588,19.336970205623174,9.070499370541341,7.049937054133451,5.564414603441051
Tairawhiti,2013,28.34299205838163,16.17299849753166,12.459755312298777,8.338699291693496,10.42069113543679,3.7132431852328827,5.011805108392359,9.47628246404808,1.878085426057094,1.1161193389139301,0.21463833440652502,71.65700794161837,55.48400944408671,43.024254131787934,34.68555484009444,24.264863704657643,20.55162051942476,15.539815411032407,6.063532946984324,4.185447520927227,3.069328182013294
Taranaki,2013,28.22618859579845,16.31258884852314,11.39630390143737,7.182909492971095,12.186068551571632,4.043595008687411,4.762280840309588,8.963828779023851,1.776970462802085,1.3070604959722003,0.23692939504027802,71.77381140420155,55.461222555678404,44.06491865424103,36.88200916126994,24.69594060969831,20.652345601010907,15.890064760701321,6.926235981677465,5.1492655188753815,3.8422050229031868
Hawke's Bay,2013,26.54308472121651,15.571325126719767,11.840695148443157,7.443881245474294,11.099203475742216,4.364952932657495,5.2947139753801595,10.166545981173062,1.879797248370746,1.4018826937002171,0.3012309920347574,73.4569152787835,57.88559015206373,46.04489500362057,38.60101375814627,27.50181028240405,23.13685734974655,17.842143374366387,7.675597393193328,5.795800144822579,4.393917451122363
Whanganui,2013,29.444162620479748,16.35625769983332,11.921153706790347,7.9281107326617875,11.109500688455686,3.9060801507355607,4.869918110007972,8.217986810638452,1.7537502717588231,1.0870352924124935,0.22465396043191535,70.55583737952026,54.199579679686934,42.278425972896585,34.35031524023479,23.24081455177911,19.334734401043548,14.464816291035575,6.246829480397125,4.4930792086383065,3.406043916225812
