DHB,year,sex,cancer,incidence_num,incidence_rate
All New Zealand,2011,Male,Bladder,234,7.3
Auckland,2011,Male,Bladder,17,6.7
Bay of Plenty,2011,Male,Bladder,14,6.9
Canterbury,2011,Male,Bladder,32,8.1
Capital & Coast,2011,Male,Bladder,13,7.5
Counties Manukau,2011,Male,Bladder,14,5.2
Hawke's Bay,2011,Male,Bladder,14,11.5
Hutt Valley,2011,Male,Bladder,10,9.8
Lakes,2011,Male,Bladder,5,0
MidCentral,2011,Male,Bladder,10,7.7
Nelson Marlborough,2011,Male,Bladder,9,6.6
Northland,2011,Male,Bladder,10,6.7
South Canterbury,2011,Male,Bladder,5,0
Southern,2011,Male,Bladder,15,5.8
Tairawhiti,2011,Male,Bladder,2,0
Taranaki,2011,Male,Bladder,5,0
Waikato,2011,Male,Bladder,18,6.5
Wairarapa,2011,Male,Bladder,1,0
Waitemata,2011,Male,Bladder,30,8.4
West Coast,2011,Male,Bladder,3,0
Whanganui,2011,Male,Bladder,7,14.4
All New Zealand,2011,Male,Colorectal,1619,51.9
Auckland,2011,Male,Colorectal,120,45.9
Bay of Plenty,2011,Male,Colorectal,96,50.3
Canterbury,2011,Male,Colorectal,201,53.7
Capital & Coast,2011,Male,Colorectal,74,41.9
Counties Manukau,2011,Male,Colorectal,139,51.6
Hawke's Bay,2011,Male,Colorectal,61,49.9
Hutt Valley,2011,Male,Colorectal,50,53
Lakes,2011,Male,Colorectal,43,61.1
MidCentral,2011,Male,Colorectal,64,46.5
Nelson Marlborough,2011,Male,Colorectal,64,48.8
Northland,2011,Male,Colorectal,69,47.9
South Canterbury,2011,Male,Colorectal,44,80.9
Southern,2011,Male,Colorectal,130,53.6
Tairawhiti,2011,Male,Colorectal,8,25.5
Taranaki,2011,Male,Colorectal,48,51.8
Waikato,2011,Male,Colorectal,148,54.3
Wairarapa,2011,Male,Colorectal,17,51.4
Waitemata,2011,Male,Colorectal,197,56.6
West Coast,2011,Male,Colorectal,18,62.4
Whanganui,2011,Male,Colorectal,27,43.9
All New Zealand,2011,Male,Kidney,346,11.7
Auckland,2011,Male,Kidney,23,9
Bay of Plenty,2011,Male,Kidney,16,8.7
Canterbury,2011,Male,Kidney,54,15.1
Capital & Coast,2011,Male,Kidney,18,10.7
Counties Manukau,2011,Male,Kidney,28,10.3
Hawke's Bay,2011,Male,Kidney,11,9
Hutt Valley,2011,Male,Kidney,8,9.4
Lakes,2011,Male,Kidney,8,11.1
MidCentral,2011,Male,Kidney,12,9.9
Nelson Marlborough,2011,Male,Kidney,12,9.9
Northland,2011,Male,Kidney,13,9.6
South Canterbury,2011,Male,Kidney,9,20.7
Southern,2011,Male,Kidney,34,15.9
Tairawhiti,2011,Male,Kidney,5,0
Taranaki,2011,Male,Kidney,11,12.2
Waikato,2011,Male,Kidney,25,10.2
Wairarapa,2011,Male,Kidney,3,0
Waitemata,2011,Male,Kidney,41,11.9
West Coast,2011,Male,Kidney,3,0
Whanganui,2011,Male,Kidney,10,23.4
All New Zealand,2011,Male,Leukaemia,344,12.2
Auckland,2011,Male,Leukaemia,25,11
Bay of Plenty,2011,Male,Leukaemia,22,12.6
Canterbury,2011,Male,Leukaemia,41,12.4
Capital & Coast,2011,Male,Leukaemia,18,11.2
Counties Manukau,2011,Male,Leukaemia,32,12.5
Hawke's Bay,2011,Male,Leukaemia,21,19.2
Hutt Valley,2011,Male,Leukaemia,12,14.5
Lakes,2011,Male,Leukaemia,8,13.3
MidCentral,2011,Male,Leukaemia,13,10.6
Nelson Marlborough,2011,Male,Leukaemia,16,13.7
Northland,2011,Male,Leukaemia,17,13.7
South Canterbury,2011,Male,Leukaemia,4,0
Southern,2011,Male,Leukaemia,25,10.9
Tairawhiti,2011,Male,Leukaemia,3,0
Taranaki,2011,Male,Leukaemia,7,9
Waikato,2011,Male,Leukaemia,37,15.8
Wairarapa,2011,Male,Leukaemia,2,0
Waitemata,2011,Male,Leukaemia,29,8.5
West Coast,2011,Male,Leukaemia,4,0
Whanganui,2011,Male,Leukaemia,5,0
All New Zealand,2011,Male,Lung,1063,33.6
Auckland,2011,Male,Lung,86,33.5
