DHB,year,sex,cancer,incidence_num,incidence_rate,group
All New Zealand,2011,Male,Bladder,234,7.3,Male
Auckland,2011,Male,Bladder,17,6.7,Male
Bay of Plenty,2011,Male,Bladder,14,6.9,Male
Canterbury,2011,Male,Bladder,32,8.1,Male
Capital & Coast,2011,Male,Bladder,13,7.5,Male
Counties Manukau,2011,Male,Bladder,14,5.2,Male
Hawke's Bay,2011,Male,Bladder,14,11.5,Male
Hutt Valley,2011,Male,Bladder,10,9.8,Male
Lakes,2011,Male,Bladder,5,0,Male
MidCentral,2011,Male,Bladder,10,7.7,Male
Nelson Marlborough,2011,Male,Bladder,9,6.6,Male
Northland,2011,Male,Bladder,10,6.7,Male
South Canterbury,2011,Male,Bladder,5,0,Male
Southern,2011,Male,Bladder,15,5.8,Male
Tairawhiti,2011,Male,Bladder,2,0,Male
Taranaki,2011,Male,Bladder,5,0,Male
Waikato,2011,Male,Bladder,18,6.5,Male
Wairarapa,2011,Male,Bladder,1,0,Male
Waitemata,2011,Male,Bladder,30,8.4,Male
West Coast,2011,Male,Bladder,3,0,Male
Whanganui,2011,Male,Bladder,7,14.4,Male
All New Zealand,2011,Male,Kidney,346,11.7,Male
Auckland,2011,Male,Kidney,23,9,Male
Bay of Plenty,2011,Male,Kidney,16,8.7,Male
Canterbury,2011,Male,Kidney,54,15.1,Male
Capital & Coast,2011,Male,Kidney,18,10.7,Male
Counties Manukau,2011,Male,Kidney,28,10.3,Male
Hawke's Bay,2011,Male,Kidney,11,9,Male
Hutt Valley,2011,Male,Kidney,8,9.4,Male
Lakes,2011,Male,Kidney,8,11.1,Male
MidCentral,2011,Male,Kidney,12,9.9,Male
Nelson Marlborough,2011,Male,Kidney,12,9.9,Male
Northland,2011,Male,Kidney,13,9.6,Male
South Canterbury,2011,Male,Kidney,9,20.7,Male
Southern,2011,Male,Kidney,34,15.9,Male
Tairawhiti,2011,Male,Kidney,5,0,Male
Taranaki,2011,Male,Kidney,11,12.2,Male
Waikato,2011,Male,Kidney,25,10.2,Male
Wairarapa,2011,Male,Kidney,3,0,Male
Waitemata,2011,Male,Kidney,41,11.9,Male
West Coast,2011,Male,Kidney,3,0,Male
Whanganui,2011,Male,Kidney,10,23.4,Male
All New Zealand,2011,Male,Prostate,3094,99.9,Male
Auckland,2011,Male,Prostate,247,98.9,Male
Bay of Plenty,2011,Male,Prostate,211,115.2,Male
Canterbury,2011,Male,Prostate,397,108.3,Male
Capital & Coast,2011,Male,Prostate,201,115.1,Male
Counties Manukau,2011,Male,Prostate,237,86.4,Male
Hawke's Bay,2011,Male,Prostate,116,90.6,Male
Hutt Valley,2011,Male,Prostate,119,126.7,Male
Lakes,2011,Male,Prostate,88,118.7,Male
MidCentral,2011,Male,Prostate,138,104.8,Male
Nelson Marlborough,2011,Male,Prostate,133,103.8,Male
Northland,2011,Male,Prostate,145,100.9,Male
South Canterbury,2011,Male,Prostate,55,97.3,Male
Southern,2011,Male,Prostate,186,78.5,Male
Tairawhiti,2011,Male,Prostate,30,92.4,Male
Taranaki,2011,Male,Prostate,78,89.7,Male
Waikato,2011,Male,Prostate,270,101.6,Male
Wairarapa,2011,Male,Prostate,48,121.5,Male
Waitemata,2011,Male,Prostate,279,79.6,Male
West Coast,2011,Male,Prostate,34,115.1,Male
Whanganui,2011,Male,Prostate,79,153.2,Male
All New Zealand,2011,Male,Testis,151,7.5,Male
Auckland,2011,Male,Testis,17,7,Male
Bay of Plenty,2011,Male,Testis,10,11.5,Male
Canterbury,2011,Male,Testis,18,7.6,Male
Capital & Coast,2011,Male,Testis,6,4.1,Male
Counties Manukau,2011,Male,Testis,8,3.5,Male
Hawke's Bay,2011,Male,Testis,4,0,Male
Hutt Valley,2011,Male,Testis,5,0,Male
Lakes,2011,Male,Testis,6,14.4,Male
MidCentral,2011,Male,Testis,6,8.3,Male
Nelson Marlborough,2011,Male,Testis,6,10.9,Male
Northland,2011,Male,Testis,5,0,Male
South Canterbury,2011,Male,Testis,3,0,Male
Southern,2011,Male,Testis,10,7.3,Male
Tairawhiti,2011,Male,Testis,3,0,Male
Taranaki,2011,Male,Testis,6,13.9,Male
Waikato,2011,Male,Testis,15,9.2,Male
Wairarapa,2011,Male,Testis,2,0,Male
Waitemata,2011,Male,Testis,20,7.7,Male
Whanganui,2011,Male,Testis,1,0,Male
All New Zealand,2012,Male,Bladder,237,7.1,Male
Auckland,2012,Male,Bladder,16,6.2,Male
Bay of Plenty,2012,Male,Bladder,15,6.9,Male
Canterbury,2012,Male,Bladder,27,6.9,Male
Capital & Coast,2012,Male,Bladder,16,8.8,Male
Counties Manukau,2012,Male,Bladder,18,6.4,Male
Hawke's Bay,2012,Male,Bladder,9,6.8,Male
Hutt Valley,2012,Male,Bladder,8,7.6,Male
Lakes,2012,Male,Bladder,8,9.9,Male
MidCentral,2012,Male,Bladder,9,7.5,Male
Nelson Marlborough,2012,Male,Bladder,8,5.2,Male
Northland,2012,Male,Bladder,11,7,Male
South Canterbury,2012,Male,Bladder,5,0,Male
