DHB,year,sex,cancer,mortality_num,mortality_rate
All New Zealand,2011,Male,Brain,135,4.9
Auckland,2011,Male,Brain,13,5.2
Bay of Plenty,2011,Male,Brain,7,5.5
Canterbury,2011,Male,Brain,19,5.7
Capital & Coast,2011,Male,Brain,6,3.6
Counties Manukau,2011,Male,Brain,10,4.1
Hawke's Bay,2011,Male,Brain,4,0.0
Hutt Valley,2011,Male,Brain,4,0.0
Lakes,2011,Male,Brain,3,0.0
MidCentral,2011,Male,Brain,4,0.0
Nelson Marlborough,2011,Male,Brain,8,9.8
Northland,2011,Male,Brain,5,0.0
South Canterbury,2011,Male,Brain,4,0.0
Southern,2011,Male,Brain,6,2.5
Tairawhiti,2011,Male,Brain,3,0.0
Taranaki,2011,Male,Brain,4,0.0
Waikato,2011,Male,Brain,17,6.7
Wairarapa,2011,Male,Brain,2,0.0
Waitemata,2011,Male,Brain,14,4.5
Whanganui,2011,Male,Brain,2,0.0
All New Zealand,2011,Male,Colorectal,590,18.3
Auckland,2011,Male,Colorectal,38,14.9
Bay of Plenty,2011,Male,Colorectal,39,19.9
Canterbury,2011,Male,Colorectal,70,17.9
Capital & Coast,2011,Male,Colorectal,30,15.8
Counties Manukau,2011,Male,Colorectal,44,16.2
Hawke's Bay,2011,Male,Colorectal,23,17.3
Hutt Valley,2011,Male,Colorectal,24,24.0
Lakes,2011,Male,Colorectal,15,20.9
MidCentral,2011,Male,Colorectal,28,20.2
Nelson Marlborough,2011,Male,Colorectal,22,16.9
Northland,2011,Male,Colorectal,36,25.9
South Canterbury,2011,Male,Colorectal,10,17.7
Southern,2011,Male,Colorectal,57,22.8
Tairawhiti,2011,Male,Colorectal,5,0.0
Taranaki,2011,Male,Colorectal,16,16.2
Waikato,2011,Male,Colorectal,58,21.0
Wairarapa,2011,Male,Colorectal,6,15.0
Waitemata,2011,Male,Colorectal,56,15.4
West Coast,2011,Male,Colorectal,7,23.0
Whanganui,2011,Male,Colorectal,6,12.6
All New Zealand,2011,Male,Leukaemia,191,6.1
Auckland,2011,Male,Leukaemia,9,3.8
Bay of Plenty,2011,Male,Leukaemia,10,6.2
Canterbury,2011,Male,Leukaemia,23,6.3
Capital & Coast,2011,Male,Leukaemia,7,3.6
Counties Manukau,2011,Male,Leukaemia,22,8.3
Hawke's Bay,2011,Male,Leukaemia,10,6.9
