DHB,year,sex,cancer,mortality_num,mortality_rate,group
All New Zealand,2011,Male,Liver,164,5.3,Male
Auckland,2011,Male,Liver,20,8.0,Male
Bay of Plenty,2011,Male,Liver,12,6.9,Male
Canterbury,2011,Male,Liver,16,4.1,Male
Capital & Coast,2011,Male,Liver,13,7.3,Male
Counties Manukau,2011,Male,Liver,15,5.6,Male
Hawke's Bay,2011,Male,Liver,6,4.7,Male
Hutt Valley,2011,Male,Liver,5,0.0,Male
Lakes,2011,Male,Liver,6,8.8,Male
MidCentral,2011,Male,Liver,4,0.0,Male
Nelson Marlborough,2011,Male,Liver,9,6.9,Male
Northland,2011,Male,Liver,9,6.8,Male
South Canterbury,2011,Male,Liver,3,0.0,Male
Southern,2011,Male,Liver,11,4.7,Male
Taranaki,2011,Male,Liver,4,0.0,Male
Waikato,2011,Male,Liver,16,5.9,Male
Wairarapa,2011,Male,Liver,2,0.0,Male
Waitemata,2011,Male,Liver,10,2.8,Male
West Coast,2011,Male,Liver,2,0.0,Male
Whanganui,2011,Male,Liver,1,0.0,Male
All New Zealand,2011,Male,Melanoma,241,7.8,Male
Auckland,2011,Male,Melanoma,14,5.5,Male
Bay of Plenty,2011,Male,Melanoma,19,11.0,Male
Canterbury,2011,Male,Melanoma,31,7.9,Male
Capital & Coast,2011,Male,Melanoma,10,5.7,Male
Counties Manukau,2011,Male,Melanoma,18,6.7,Male
Hawke's Bay,2011,Male,Melanoma,7,5.3,Male
Hutt Valley,2011,Male,Melanoma,8,7.7,Male
Lakes,2011,Male,Melanoma,6,8.3,Male
MidCentral,2011,Male,Melanoma,12,11.2,Male
Nelson Marlborough,2011,Male,Melanoma,6,5.3,Male
Northland,2011,Male,Melanoma,17,12.3,Male
South Canterbury,2011,Male,Melanoma,4,0.0,Male
Southern,2011,Male,Melanoma,15,6.9,Male
Tairawhiti,2011,Male,Melanoma,4,0.0,Male
Taranaki,2011,Male,Melanoma,8,9.7,Male
Waikato,2011,Male,Melanoma,26,10.3,Male
Wairarapa,2011,Male,Melanoma,2,0.0,Male
Waitemata,2011,Male,Melanoma,31,8.8,Male
West Coast,2011,Male,Melanoma,1,0.0,Male
Whanganui,2011,Male,Melanoma,2,0.0,Male
All New Zealand,2011,Male,Prostate,584,16.8,Male
Auckland,2011,Male,Prostate,34,12.9,Male
Bay of Plenty,2011,Male,Prostate,51,22.9,Male
Canterbury,2011,Male,Prostate,87,20.4,Male
Capital & Coast,2011,Male,Prostate,47,23.5,Male
Counties Manukau,2011,Male,Prostate,29,10.8,Male
Hawke's Bay,2011,Male,Prostate,24,16.4,Male
Hutt Valley,2011,Male,Prostate,18,17.2,Male
Lakes,2011,Male,Prostate,19,24.0,Male
MidCentral,2011,Male,Prostate,24,15.2,Male
Nelson Marlborough,2011,Male,Prostate,19,13.1,Male
Northland,2011,Male,Prostate,35,22.4,Male
South Canterbury,2011,Male,Prostate,13,20.0,Male
Southern,2011,Male,Prostate,44,16.2,Male
Tairawhiti,2011,Male,Prostate,2,0.0,Male
Taranaki,2011,Male,Prostate,20,18.9,Male
Waikato,2011,Male,Prostate,52,17.4,Male
Wairarapa,2011,Male,Prostate,12,27.1,Male
Waitemata,2011,Male,Prostate,34,8.7,Male
West Coast,2011,Male,Prostate,4,0.0,Male
Whanganui,2011,Male,Prostate,16,27.6,Male
All New Zealand,2011,Male,Stomach,191,6.0,Male
Auckland,2011,Male,Stomach,12,4.7,Male
Bay of Plenty,2011,Male,Stomach,20,11.0,Male
Canterbury,2011,Male,Stomach,26,6.8,Male
Capital & Coast,2011,Male,Stomach,7,3.7,Male
Counties Manukau,2011,Male,Stomach,19,7.2,Male
Hawke's Bay,2011,Male,Stomach,4,0.0,Male
Hutt Valley,2011,Male,Stomach,12,12.2,Male
Lakes,2011,Male,Stomach,3,0.0,Male
MidCentral,2011,Male,Stomach,6,4.7,Male
Nelson Marlborough,2011,Male,Stomach,2,0.0,Male
Northland,2011,Male,Stomach,11,8.1,Male
South Canterbury,2011,Male,Stomach,1,0.0,Male
Southern,2011,Male,Stomach,7,2.8,Male
Tairawhiti,2011,Male,Stomach,4,0.0,Male
Taranaki,2011,Male,Stomach,6,6.6,Male
Waikato,2011,Male,Stomach,19,6.6,Male
Wairarapa,2011,Male,Stomach,4,0.0,Male
Waitemata,2011,Male,Stomach,25,7.1,Male
West Coast,2011,Male,Stomach,2,0.0,Male
Whanganui,2011,Male,Stomach,1,0.0,Male
All New Zealand,2012,Male,Liver,151,4.8,Male
Auckland,2012,Male,Liver,15,5.7,Male
Bay of Plenty,2012,Male,Liver,4,0.0,Male
Canterbury,2012,Male,Liver,16,4.4,Male
Capital & Coast,2012,Male,Liver,9,4.5,Male
Counties Manukau,2012,Male,Liver,30,10.6,Male
Hawke's Bay,2012,Male,Liver,4,0.0,Male
Hutt Valley,2012,Male,Liver,5,0.0,Male
Lakes,2012,Male,Liver,7,9.2,Male
MidCentral,2012,Male,Liver,2,0.0,Male
Nelson Marlborough,2012,Male,Liver,3,0.0,Male
Northland,2012,Male,Liver,4,0.0,Male
South Canterbury,2012,Male,Liver,2,0.0,Male
Southern,2012,Male,Liver,7,3.0,Male
Tairawhiti,2012,Male,Liver,1,0.0,Male
Taranaki,2012,Male,Liver,6,7.3,Male
Waikato,2012,Male,Liver,19,7.2,Male
Wairarapa,2012,Male,Liver,3,0.0,Male
Waitemata,2012,Male,Liver,11,3.0,Male
West Coast,2012,Male,Liver,3,0.0,Male
All New Zealand,2012,Male,Melanoma,221,6.8,Male
Auckland,2012,Male,Melanoma,16,6.1,Male
Bay of Plenty,2012,Male,Melanoma,21,11.7,Male
Canterbury,2012,Male,Melanoma,26,6.6,Male
Capital & Coast,2012,Male,Melanoma,10,5.2,Male
Counties Manukau,2012,Male,Melanoma,19,6.7,Male
Hawke's Bay,2012,Male,Melanoma,8,5.9,Male
Hutt Valley,2012,Male,Melanoma,12,11.8,Male
Lakes,2012,Male,Melanoma,4,0.0,Male
MidCentral,2012,Male,Melanoma,10,6.6,Male
Nelson Marlborough,2012,Male,Melanoma,7,8.2,Male
Northland,2012,Male,Melanoma,13,8.7,Male
South Canterbury,2012,Male,Melanoma,5,0.0,Male
Southern,2012,Male,Melanoma,13,5.3,Male
Taranaki,2012,Male,Melanoma,11,11.1,Male
Waikato,2012,Male,Melanoma,16,5.2,Male
