DHB,year,Children-No children,Children-One child,Children-Two children,Children-Three children,Children-Four children,Children-Five children,Children-Six or more children,Children-> 0 children,Children-> 1 children,Children-> 2 children,Children-> 3 children,Children-> 4 children,Children-> 5 children
Northland,2013,22.121847609829544,11.163090821100177,26.58493305371834,18.841748669140184,9.72737538312631,3.9683819970963055,3.833951712641824,77.87815239017046,66.71506156907029,40.13012851535194,21.288379846211754,11.561004463085439,7.5926224659891375
Waitemata,2013,30.885018871288892,14.255995720526613,28.514963297571995,14.890487087283427,5.661386668251657,1.9257630241611936,1.4056881333769204,69.11498112871111,54.858985408184495,26.3440221106125,11.453535023329067,5.7921483550774155,3.8663853309162164
Auckland,2013,43.15817551347026,13.868587178803239,22.2032542011203,10.961145194274028,4.278474259802614,1.691117631368365,1.543522717169023,56.84182448652974,42.9732373077265,20.769983106606205,9.80883791233218,5.530363652529559,3.8392460211611876
Counties Manukau,2013,29.471769447515783,13.409066590576737,25.355779862324784,14.803652316581658,7.2279487819666866,3.3598459178942117,3.5399650461889642,70.52823055248422,57.11916396190748,31.763384099582694,16.959731783001033,9.731783001034344,6.371937083140139
Waikato,2013,27.208597775369853,11.255832467216559,25.160876583888015,18.170761371928972,8.805643395767452,3.458570133345127,2.907941000862431,72.79140222463015,61.53556975741359,36.37469317352557,18.203931801596596,9.398288405829149,5.939718272484015
Lakes,2013,24.424348991040777,12.45080800468894,25.948254207485554,18.1026542744704,9.093192665159508,3.6088085070752745,3.148287699907896,75.57565100895923,63.12484300427028,37.17658879678473,19.07393452231433,9.980741857154825,6.371933350079544
Bay of Plenty,2013,22.869904235588024,11.400885726181913,27.930655967296264,19.448124455884024,9.201710889889853,3.482342253681063,2.6685340096142927,77.13009576441198,65.72921003823006,37.798554070933804,18.350429615049777,9.148718725159924,5.666376471478856
Tairawhiti,2013,22.742857142857144,11.638095238095238,23.733333333333334,18.74285714285714,10.4,4.419047619047619,4.81904761904762,77.25714285714285,65.61904761904762,41.885714285714286,23.14285714285714,12.742857142857133,8.323809523809516
Taranaki,2013,23.39532527679282,11.14407699544106,25.870178739416744,19.842246182791808,9.97901440046313,3.762935089369708,2.8222013170272815,76.60467472320718,65.46059772776613,39.59041898834938,19.748172805557573,9.769158405094444,6.006223315724739
Hawke's Bay,2013,23.61772244599048,11.461003295496155,26.698749803839515,19.40157974577601,9.059998953810744,3.6930480723962966,3.1437987131872154,76.38227755400952,64.92127425851336,38.222524454673845,18.820944708897827,9.760945755087079,6.067897682690784
Whanganui,2013,22.54478880606774,11.27239440303387,25.042500326925595,19.890153001176934,10.30469465149732,3.9754151955015042,3.5569504380802934,77.45521119393226,66.18281679089839,41.140316463972795,21.250163462795854,10.94546881129854,6.970053615797042
MidCentral,2013,28.12322544009086,11.044860874503124,24.380087071739542,18.261404505016092,8.792352829831534,3.520726859738785,2.806170736324058,71.87677455990914,60.831913685406015,36.45182661366647,18.19042210865038,9.398069278818852,5.877342419080065
Hutt Valley,2013,29.026941002614524,13.351142434920996,26.219165624644763,16.278276685233603,7.286574968739343,2.711151528930317,2.1996135046038425,70.97305899738548,57.62191656246448,31.402750937819718,15.124474252586111,7.837899283846767,5.126747754916451
Capital & Coast,2013,40.51310593411253,12.045797885028225,23.044711245395032,13.312660676896982,5.239723304444621,1.8393363547215817,1.4841907185073282,59.48689406588747,47.44109618085925,24.396384935464212,11.08372425856723,5.844000954122606,4.004664599401025
Wairarapa,2013,22.604513503514614,10.9322974472808,26.119126896041433,21.01368849426563,10.229374768775434,3.551609322974473,2.6452090270070294,77.39548649648539,66.46318904920459,40.34406215316315,19.330373658897514,9.100998890122085,5.549389567147614
Nelson Marlborough,2013,24.62322695035461,11.52482269503546,29.26640070921986,19.060283687943265,8.167109929078014,2.604166666666667,1.750886524822695,75.3767730496454,63.851950354609926,34.585549645390074,15.525265957446805,7.358156028368796,4.753989361702125
West Coast,2013,24.539257763191113,11.209290583186064,27.240595809139105,18.682150971976775,8.81090633678364,3.1052764453420854,2.827568795758647,75.46074223680888,64.25145165362282,37.010855844483714,18.328704872506933,9.517798535723287,6.412522090381202
Canterbury,2013,30.700743018191133,11.93633102741481,27.510889059697668,16.801178580579045,6.679157058672816,2.2370612349474763,1.437996413015629,69.29925698180887,57.36292595439406,29.852036894696397,13.050858314117349,6.371701255444535,4.134640020497059
South Canterbury,2013,22.252264431526296,10.179802622684871,27.80857104231445,21.103149925645532,9.639042855211573,3.46086251182912,2.352304988508855,77.7477355684737,67.56793294578884,39.759361903474385,18.65621197782886,9.01716912261729,5.55630661078817
Southern,2013,31.3971340839304,10.353121801432957,25.22773797338792,17.860798362333675,7.732855680655066,2.7993858751279426,1.827021494370522,68.6028659160696,58.24974411463664,33.022006141248724,15.161207778915042,7.428352098259978,4.628966223132039
Area Outside District Health Board,2013,25.925925925925924,11.11111111111111,25.925925925925924,18.51851851851852,7.4074074074074066,0,0,74.07407407407408,62.96296296296296,37.03703703703704,18.51851851851852,11.111111111111114,11.111111111111114
Northland,2018,22.872413951988204,11.648159240657973,26.959406533658942,19.071096161820947,9.408837487904897,3.8750403170068655,3.607796157213288,77.12758604801179,65.47942680735383,38.52002027369488,19.448924111873936,10.040086623969046,6.165046306962182
Waitemata,2018,31.69030146101936,15.439312019533924,28.585803024001503,14.155385915719709,5.10484725706696,1.7373921676482822,1.3456404201939978,68.30969853898064,52.87038651944672,24.28458349544522,10.129197579725513,5.024350322658549,3.286958155010268
Auckland,2018,43.460686971689256,14.359989266067355,22.53454984569972,10.727223936669796,3.9514289547833084,1.5916409499530393,1.482624446531598,56.539313028310744,42.179323762243385,19.64477391654367,8.917549979873868,4.966121025090558,3.3744800751375124
Counties Manukau,2018,29.72760649640069,14.387635675693009,25.600820868003783,14.299456495599058,6.922867266285092,3.161624420823113,3.4213521876452955,70.27239350359932,55.8847578279063,30.28393695990252,15.98448046430346,9.061613198018364,5.899988777195247
Waikato,2018,27.418718434343436,11.777935606060606,25.854245580808083,18.01215277777778,8.439867424242424,3.3124210858585856,2.7836963383838382,72.58128156565657,60.80334595959596,34.949100378787875,16.936947601010104,8.497080176767682,5.1846590909090935
Lakes,2018,25.020800242039183,12.563346191664776,26.745329400196656,17.80500718553816,8.766356553967174,3.638151425762045,2.9876711292640494,74.97919975796081,62.41585356629604,35.67052416609938,17.865516980561225,9.099160426594054,5.461009000832007
Bay of Plenty,2018,23.400971893879696,11.89913317572892,29.01234567901235,19.19818754925138,8.612424481218808,3.1422379826635143,2.406750722353559,76.5990281061203,64.69989493039138,35.68754925137904,16.489361702127667,7.876937220908857,4.734699238245341
Tairawhiti,2018,22.771923557778177,11.50205393820325,24.21861046615467,19.05697445972495,10.626897660296482,4.554384711555635,4.822289694588319,77.22807644222182,65.72602250401857,41.5074120378639,22.450437578138946,11.823539917842467,7.269155206286825
Taranaki,2018,23.467272848833325,11.399344788393394,26.703215885538544,19.84355151434111,9.661028281072408,3.5969780036103494,2.727819749949856,76.53272715116668,65.13338236277329,38.430166477234735,18.58661496289362,8.925586681821216,5.32860867821087
Hawke's Bay,2018,24.087591240875913,11.669227814060699,27.290626200537844,19.203803303880136,8.696696119861699,3.5824049174029966,2.9389166346523243,75.91240875912409,64.24318094506339,36.95255474452554,17.748751440645407,9.052055320783708,5.469650403380712
Whanganui,2018,22.787310208616223,11.67757067028762,26.021478829774104,19.40501172694729,9.949388964325392,3.7896555980743116,3.493395877052216,77.21268979138378,65.53511912109616,39.513640291322055,20.10862856437477,10.159239600049375,6.369584001975056
MidCentral,2018,27.943691619523747,11.489716265403676,25.16774108669912,18.308994430557384,8.60413103539008,3.350436346094812,2.718940490286366,72.05630838047625,60.56659211507258,35.39885102837346,17.089856597816066,8.485725562425984,5.135289216331174
Hutt Valley,2018,29.948383019066682,14.073527862635625,26.45106920889076,15.769514379016117,6.868218687453913,2.4702412303802803,2.0278099652375436,70.05161698093332,55.97808911829769,29.52701990940693,13.757505530390816,6.889286842936897,4.419045612556616
Capital & Coast,2018,41.245791245791246,12.184648416532475,23.464109695993756,12.894646952617967,5.08710291318987,1.7542575513590004,1.3590006343629533,58.754208754208754,46.56956033767628,23.105450641682523,10.210803689064562,5.1237007758746955,3.369443224515692
Wairarapa,2018,23.487007544006705,11.517183570829841,26.789606035205367,20.67057837384744,9.673093042749372,3.2020117351215425,2.3637887678122382,76.5129924559933,64.99580888516346,38.20620284995809,17.535624476110655,7.8625314333612835,4.660519698239739
Nelson Marlborough,2018,25.63404426965159,11.914485957747189,29.708062320375134,18.756617758281653,7.588362829627389,2.4605455553874855,1.6638935108153077,74.36595573034842,62.45146977260122,32.74340745222608,13.98678969394443,6.398426864317045,3.937881308929562
West Coast,2018,24.477091633466134,11.877490039840637,27.465139442231074,18.550796812749006,8.914342629482071,3.062749003984064,2.7141434262948207,75.52290836653387,63.64541832669323,36.180278884462155,17.62948207171314,8.715139442231077,5.652390438247011
Canterbury,2018,31.909788182194738,12.579092454258495,27.523459928870352,16.205561824232642,6.234556439518375,2.038192907031551,1.3726022310142403,68.09021181780525,55.51111936354677,27.987659434676416,11.78209761044377,5.547541170925399,3.509348263893841
South Canterbury,2018,23.42572486907651,10.85706986843786,28.20283561118917,20.909439264273853,8.941116362242942,3.065525609911866,2.120321880189041,76.5742751309235,65.71720526248563,37.51436965129646,16.604930387022605,7.6638140247796684,4.598288414867795
Southern,2018,32.51884098675279,10.754575668211395,25.68927585077002,17.417965641529747,7.269578242756166,2.5651827926789306,1.6687731123905818,67.48115901324721,56.72658334503581,31.03730749426579,13.619341852736042,6.349763609979874,3.7845808173009488
Area Outside District Health Board,2018,60,20,13.333333333333334,6.666666666666667,0,0,0,40,20,6.666666666666671,0,0,0
