DHB,year,sex,NZHS-Physically active,NZHS-After-hours medical centre visit,NZHS-Past-year drinkers,NZHS-Amphetamine use (total population),NZHS-Amphetamine use (16-64 years),NZHS-Anxiety disorder,NZHS-Arthritis,NZHS-Asthma (medicated),NZHS-Bipolar disorder,NZHS-Mean BMI (kg/m²),NZHS-Cannabis use,NZHS-Definite confidence and trust in GP,NZHS-Current smokers,NZHS-Daily smokers,NZHS-Only visit dental health care worker for problems,NZHS-Dental health care worker visit,NZHS-Depression,NZHS-Diabetes,NZHS-Mean diastolic blood pressure (mmHg),NZHS-Heavy episodic drinking at least monthly (total population),NZHS-Heavy episodic drinking at least monthly (past-year drinkers),NZHS-Heavy episodic drinking at least weekly (total population),NZHS-Heavy episodic drinking at least weekly (past-year drinkers),NZHS-All teeth removed due to decay,NZHS-ED visit,NZHS-Ex-smokers,NZHS-GP good at explaining health conditions and treatments,NZHS-Fruit intake,NZHS-Gout,NZHS-GP visit,NZHS-Hazardous drinkers (total population),NZHS-Hazardous drinkers (past-year drinkers),NZHS-Self-rated health - excellent,NZHS-Self-rated health - fair,NZHS-Fair or poor self-rated health,NZHS-Self-rated health - good,"NZHS-Excellent, very good or good self-rated health",NZHS-Self-rated health - poor,NZHS-Self-rated health - very good,NZHS-Heart failure,NZHS-Heavy smokers,NZHS-Mean height (cm),NZHS-High blood pressure (medicated),NZHS-High cholesterol (medicated),NZHS-Highly physically active,NZHS-Ischaemic heart disease,NZHS-GP good at involving patient in decisions,NZHS-Psychological distress,NZHS-Mean number of after-hours visits,NZHS-Mean number of cigarettes,NZHS-Mean number of GP visits,NZHS-Mean number of practice nurse visits,NZHS-Mood and/or anxiety disorder,NZHS-Mood disorder (depression and/or bipolar),NZHS-Unable to get appointment within 24 hours,NZHS-Healthy weight,NZHS-Unfilled prescription due to cost,NZHS-Practice nurse visit,NZHS-Obese,NZHS-Obese class 1,NZHS-Obese class 2,NZHS-Obese class 3,NZHS-Osteoarthritis,NZHS-Overweight or obese,NZHS-Overweight (but not obese),NZHS-Chronic pain,NZHS-Private health insurance,NZHS-Raised blood pressure (measured),NZHS-Rheumatoid arthritis,NZHS-Mostly smoke roll-your-own cigarettes,NZHS-Little or no physical activity,NZHS-Stroke,NZHS-Mean systolic blood pressure (mmHg),NZHS-Mostly smoke both manufactured and roll-your own cigarettes,NZHS-Mostly smoke manufactured cigarettes,NZHS-Teeth removed due to decay in lifetime,NZHS-Teeth removed due to decay in past 12 months,NZHS-Underweight,NZHS-Unmet need for after-hours due to cost,NZHS-Unmet need for after-hours due to lack of transport,NZHS-Unmet need for GP due to cost,NZHS-Unmet need for GP due to lack of transport,NZHS-Unmet need for primary health care,NZHS-Vegetable and fruit intake,NZHS-Vegetable intake,NZHS-Mean waist (cm),NZHS-Mean weight (kg),NZHS-Waist to height ratio ≥ 0.5
Auckland,2011,AllSex,46.2,11.5,76.8,0.7,0.8,4.7,10.8,7.3,0.3,26.3,9.2,85,13.1,9.9,46.6,52.1,10.2,5,NA,NA,NA,NA,NA,2.2,9.3,22.3,91.7,55.6,1.1,77.6,NA,NA,18.3,7.1,8.3,35.6,91.7,1.2,37.7,1.1,7.7,168.8,11.2,7.9,39.4,3.1,88.7,6.1,0.2,10.1,2.7,0.4,11.8,10.2,11.8,45.8,4.5,22.6,20.8,13.3,5.4,2.2,6.9,52.3,31.5,10.2,49,NA,1.4,17.8,12,1,NA,8.8,72.8,36.2,5.7,1.9,3.3,1,8.6,2.7,18.3,37.2,56.3,86.5,75.2,47.4
Auckland,2012,AllSex,51.8,11.3,72.3,0.2,0.2,4.2,9.4,8.2,0.2,26.6,9,78.6,11.9,9,48.7,48.9,10.5,4.8,73.2,NA,NA,NA,NA,3.1,12.6,18.9,92.5,58.1,1.7,75,NA,NA,23.5,7.8,9.2,28.1,90.8,1.4,39.2,1.9,3.7,169.1,9.9,8.8,45.5,3.6,89.6,6.4,0.2,8.3,2.6,0.4,11.7,10.5,10.1,39.7,5.3,19.5,21.5,13.2,4.6,3.7,5.3,57.2,35.6,12.3,45.9,17.8,0.9,13.3,11.3,1.4,120.9,10.5,73.6,36.8,6,3.1,4.9,0.8,12.6,2.6,21.1,39.1,61.4,88.5,76.2,54.6
Auckland,2013,AllSex,45.4,10.8,74.5,1.2,1.3,6.3,9.2,7.4,0.8,26.4,13.9,79.8,11.5,8.7,44.1,49.7,11.8,4.2,74.6,NA,NA,NA,NA,1.9,8.8,19.1,92.9,60.8,1.8,77.3,NA,NA,24.9,5,5.7,23.2,94.3,0.8,46.3,0.8,3.2,169.5,10.4,7.8,39.2,2.2,89.7,4.7,0.2,9.9,2.7,0.3,13.9,11.9,9.5,43.1,4.1,17.4,21.1,13.7,5.2,2.2,5.1,54.3,33.3,11.8,42,19,1.4,22.6,11.9,0.5,122.7,14.9,60.2,32.4,4,2.5,3.2,0.5,10.3,2.3,19.4,40.6,56.4,87.7,76.2,55.2
Auckland,2014,AllSex,50,12.6,73.7,0.8,0.9,7,10.7,9.5,0.7,26.8,9.1,79,10.4,8.8,50.8,47.4,11.2,4.5,73.8,NA,NA,NA,NA,1.8,12.9,19.3,91.2,55.6,2.3,80.7,NA,NA,16.3,9.3,10.8,29.4,89.2,1.5,43.5,1.5,8.3,168.4,9.7,8.2,44.2,1.9,87,6.6,0.2,9.1,2.8,0.4,14,11.6,12.5,43.6,4.7,18.7,23.6,13.5,6.8,3.3,6,54.5,30.9,12.4,46.1,16.6,1.7,21.5,8.6,0.9,121.9,20.7,53.8,34.2,5.2,1.9,4.4,0.5,11.8,1.7,23,41.8,65.4,88.3,76.3,54.7
Auckland,2015,AllSex,44.9,11.6,70.4,1.2,1.4,5.4,11.5,8.7,0.7,26.8,13,73.6,13.1,10,49.8,48.1,9.7,5.3,73.9,22.7,31.9,9.4,12.8,2.5,11.8,16.6,82.6,51.7,2,78.1,20.2,27.8,14.5,8.7,10.5,38,89.5,1.8,37,1.4,2.1,169.4,10.5,7.1,37.3,3,81.6,6.3,0.2,7.6,2.6,0.4,11.2,9.7,16.5,41.2,7.2,20.8,21.9,12.4,5.6,3.9,6,56.5,34.6,14.8,45.7,18.3,1.7,16.3,11.5,1.1,121.2,8.7,75,33.1,6,2.3,6.2,1.7,11.3,4.1,25.5,35.4,59.2,89.8,77.1,58.7
Auckland,2016,AllSex,47,10.1,74.4,0.9,1,6.7,10,11.7,1.1,27.2,8.6,76.7,11.6,9.3,49.9,47.3,10.9,4.2,73.6,21.3,28.1,10.3,13.4,2.9,10.8,20.2,92.5,53.6,1.9,74.8,18.6,24.5,15.6,10.3,12.5,33.4,87.5,2.2,38.6,1.7,6.2,169.1,11.7,6.7,39.3,3.2,91.1,6.8,0.1,8.8,2.4,0.4,13.9,11.1,13.2,38.8,5.9,20.9,25.2,13.4,6.3,5.4,5.5,58.4,33.2,14.3,44.3,16.9,2.1,25.7,13.7,0.9,120.8,10.4,63.4,32.2,5.4,2.8,6.2,0.7,10.3,2,21.5,30.3,46.9,90.3,77.8,61
Auckland,2011,Female,43.8,12.8,71.2,0.4,0.4,4.8,10.8,8.6,0.5,26.1,3.7,84.5,9.4,7.9,45.8,53.5,13.6,4,NA,NA,NA,NA,NA,2.1,8.7,19,95.7,59.5,0.1,81.7,NA,NA,19.9,7.3,8.9,32.9,91.1,1.6,38.3,1.5,1.8,162.2,12,6.5,34.5,1.9,89.3,7,0.2,9.2,3,0.5,14.7,13.6,14.2,48.9,6.2,27.1,20.6,12.9,4.8,2.9,7.7,48.9,28.3,12.3,50.2,NA,1.7,22.5,14.9,0.8,NA,10.2,64.8,35.5,4.1,2.2,4.9,1,11.4,4.1,22.6,41.2,60.8,81.6,68.9,40.9
Auckland,2011,Male,47.9,9.6,82.4,1.1,1.3,4.7,11.1,6,0.1,26.7,15,86.3,16.5,11.9,47.9,50,7,6.4,NA,NA,NA,NA,NA,2.3,10.2,25.9,87.8,50.8,2.3,73.6,NA,NA,16.9,7.1,7.9,38.2,92.1,0.9,36.9,0.8,12.5,176,10.4,9.4,43.6,4.1,89.1,5.1,0.1,10.8,2.3,0.4,9.1,7.1,9.3,41.8,2.4,17.7,21.3,13.6,6.1,1.5,6.1,56.8,35.5,8,46.4,NA,1,16.1,10.2,1.1,NA,8.1,75.8,36.4,7.5,1.4,1.6,0.7,5.3,0.8,13.4,31.6,50.6,92,82.4,53.8
Auckland,2012,Female,46.7,14,66.7,0,0,5.7,10.7,10.2,0.3,26.6,5.3,83.5,8.6,6.1,44.7,51.3,14.5,4.8,71.3,NA,NA,NA,NA,3.3,14.8,15,91.5,60.6,0.5,82,NA,NA,23.8,8.8,10.8,29,89.2,2,36.4,1.2,6.1,162.6,11.6,7,39.9,2.5,89.1,6.5,0.2,8.5,3.1,0.6,15.6,14.4,11.2,44,7.4,25.4,23.8,12.1,6.6,5.1,7.1,51.9,28.2,13.4,48.3,13.7,1.1,13.1,13.6,1,115.4,11.1,75.8,33.8,4.8,4.1,7.6,1.6,18.1,4.1,27.2,40.8,62.9,84.1,70.2,48.5
Auckland,2012,Male,56.5,8.9,77.4,0.4,0.5,2.7,7.8,6.3,0.3,26.7,12.4,71.4,14.7,11.2,52.8,46.8,6.7,4.7,75.1,NA,NA,NA,NA,2.9,10.6,22.6,93.9,55,3.1,69.2,NA,NA,22.8,6.9,7.8,28.1,92.2,0.9,41.3,2.6,3.4,175,8.2,10.8,50.6,4.9,90.1,6.1,0.1,8.5,2.1,0.3,8,6.8,8.7,35.1,3.8,14.1,19.7,14.2,2.8,2.7,3.2,62.7,43,11.2,43.6,21.7,0.6,13.4,9.1,1.9,126,11.8,70.6,40,7.3,2.2,2.9,0.2,8.1,1.3,16,36.9,59.7,92.9,81.8,61.7
