DHB,year,WorkHours-1-9 hours worked,WorkHours-10-19 hours worked,WorkHours-20-29 hours worked,WorkHours-30-39 hours worked,WorkHours-40-49 hours worked,WorkHours-50-59 hours worked,WorkHours-60 hours or more worked,WorkHours-≥ 10 hours,WorkHours-≥ 20 hours,WorkHours-≥ 30 hours,WorkHours-≥ 40 hours,WorkHours-≥ 50 hours,WorkHours-≥ 60 hours
Northland,2013,5.855105652128656,8.14510252940564,10.830644321848652,15.88945560528781,36.9157905693765,11.247007390444468,11.122098469865723,94.14489434787134,85.9997918184657,75.16914749661706,59.279691891329236,22.36390132195274,11.116893931508272
Waitemata,2013,5.346187554776511,7.234255665456367,9.181169400275447,14.1742832102166,46.52059596844873,10.917741329660698,6.625766871165645,94.6538124452235,87.41955677976712,78.23838737949168,64.06410416927508,17.543508200826352,6.625766871165652
Auckland,2013,4.86226796763446,6.535578296049501,8.692289386006664,13.606615897191812,47.074309852451215,12.157900999524037,7.074012375059495,95.13773203236553,88.60215373631604,79.90986435030938,66.30324845311756,19.22893860066634,7.071037601142308
Counties Manukau,2013,4.944966008416964,6.0537390741340245,8.276141146001942,12.411783748786014,50.87730657170605,10.553577209452897,6.884104888313371,95.05503399158303,89.00129491744902,80.72515377144707,68.31337002266105,17.436063450955004,6.882486241502107
Waikato,2013,5.646658119821665,7.667285356192954,9.659210501138517,13.89946614109948,40.67660396854251,11.528673389334303,10.925929469394005,94.35334188017833,86.68605652398539,77.02684602284687,63.12737988174739,22.45077591320488,10.922102523870578
Lakes,2013,5.497193840840408,7.626996690171247,10.231688012663692,14.721542668009786,39.97697510433156,11.454885595049648,10.49071808893366,94.50280615915959,86.87580946898834,76.64412145632465,61.922578788314866,21.945603683983308,10.490718088933662
Bay of Plenty,2013,5.6237721021611,7.97782767330901,11.163345495369072,15.734633735616054,39.60847600336795,11.159837215829358,8.739124333426886,94.3762278978389,86.3984002245299,75.23505472916082,59.500420993544765,19.891944990176825,8.732107774347469
Tairawhiti,2013,5.91454802259887,7.37994350282486,10.187146892655367,15.18361581920904,39.17725988700565,11.70550847457627,10.451977401129943,94.08545197740114,86.70550847457628,76.5183615819209,61.33474576271186,22.157485875706215,10.451977401129938
Taranaki,2013,5.551554435241868,7.322050174048734,10.064818149081743,13.551794502460691,41.261553234905776,10.821029888368743,11.415196254951386,94.44844556475813,87.1263953907094,77.06157724162765,63.509782739166965,22.24822950426119,11.427199615892448
Hawke's Bay,2013,5.710197110280201,7.644370585791442,10.044776808382958,14.231639200480082,40.99616858237548,12.223607071966025,9.149240640723814,94.2898028897198,86.64543230392836,76.6006554955454,62.369016295065315,21.372847712689833,9.149240640723804
Whanganui,2013,5.929043896572459,7.997594708358388,9.885748647023451,15.009019843656043,39.79555021046302,11.304870715574264,10.090198436560433,94.07095610342753,86.07336139506916,76.1876127480457,61.17859290438966,21.38304269392664,10.078171978352373
MidCentral,2013,6.017301331524044,7.959460605546603,9.681112713086252,15.028411500296837,40.56059706555848,11.39004325332881,9.363073530658978,93.98269866847596,86.02323806292935,76.3421253498431,61.31371384954626,20.753116783987778,9.363073530658966
Hutt Valley,2013,5.0688860676164955,6.526543471105469,8.4403065782668,15.662763906521842,48.91145906803969,9.498283725960407,5.901161423802135,94.93111393238351,88.40457046127804,79.96426388301123,64.3014999764894,15.390040908449706,5.8917571824893
Capital & Coast,2013,5.200194795570519,6.896186664972792,8.740392555421456,16.180736411950285,45.96751995595926,10.94031209638146,6.07677486290203,94.79980520442948,87.90361853945669,79.16322598403524,62.98248957208495,17.014969616125683,6.074657519744221
Wairarapa,2013,6.230031948881789,8.115015974440896,11.134185303514377,15.447284345047924,37.284345047923324,11.613418530351439,10.191693290734824,93.76996805111821,85.65495207667732,74.52076677316293,59.073482428115014,21.78913738019169,10.175718849840251
Nelson Marlborough,2013,6.076054009368972,8.505557086433361,11.325434003857811,14.861761734178378,38.56893542757417,11.265729769449804,9.396527969137503,93.92394599063103,85.41838890419767,74.09295490033986,59.231193166161475,20.6622577385873,9.396527969137495
West Coast,2013,5.619512195121952,7.668292682926829,9.834146341463414,12.8,36.702439024390245,11.921951219512195,15.512195121951219,94.38048780487804,86.71219512195123,76.8780487804878,64.0780487804878,27.37560975609756,15.453658536585365
Canterbury,2013,5.132878131592415,8.043839173147257,9.579208847723782,14.154111170750582,43.568298985158094,11.434135137496723,8.087528554131143,94.86712186840758,86.82328269526033,77.24407384753655,63.089962676785966,19.52166369162788,8.087528554131154
South Canterbury,2013,5.930285196921684,8.148483476686282,10.287460389316433,12.516976007243096,36.61158895427795,13.524219103666818,12.969669533725666,94.06971480307831,85.92123132639203,75.63377093707561,63.11679492983251,26.50520597555456,12.980986871887737
Southern,2013,5.854078334242895,8.303597665925023,9.85055203391965,14.837748205365015,38.32122916754124,11.903362579236807,10.929432013769363,94.1459216657571,85.84232399983208,75.99177196591243,61.15402376054742,22.832794593006184,10.929432013769372
Area Outside District Health Board,2013,4.081632653061225,6.122448979591836,14.285714285714285,14.285714285714285,40.816326530612244,10.204081632653061,12.244897959183673,95.91836734693878,89.79591836734694,75.51020408163265,61.22448979591837,20.40816326530613,10.204081632653072
Northland,2018,6.115240267863713,8.40017661343734,11.413643388034439,15.99455441901538,38.976377952755904,11.07145485319008,8.028552505703141,93.88475973213629,85.48458311869895,74.0709397306645,58.076385311649126,19.100007358893222,8.028552505703146
Waitemata,2018,5.4952483968168115,7.047245615390558,9.192227458858069,13.68596924978753,49.413775786139226,10.299003322259136,4.86749594375338,94.5047516031832,87.45750598779263,78.26527852893456,64.57930927914703,15.1655334930078,4.866530170748661
Auckland,2018,5.2438252058264725,6.708503655938741,9.25441879210087,12.784846565720537,49.90615464333007,10.895273187863435,5.20812942598883,94.75617479417353,88.04767113823479,78.79325234613393,66.00840578041338,16.102251137083314,5.206977949219876
Counties Manukau,2018,5.168931950715891,5.898436613646162,8.29797372421774,11.47693494588278,53.083660456989854,10.427492001542966,5.645435774091807,94.83106804928411,88.93263143563794,80.6346577114202,69.15772276553743,16.074062308547582,5.646570307004623
Waikato,2018,5.904869291712412,7.665944630723123,9.837987003353016,14.032224563069345,42.89190231743865,11.443280614818551,8.2237915788849,94.09513070828758,86.42918607756447,76.59119907421145,62.558974511142104,19.66707219370346,8.223791578884914
Lakes,2018,5.355483906224383,7.820099458986831,11.21919230559047,15.530903328050712,41.166183944477844,11.088037597682932,7.820099458986831,94.64451609377562,86.82441663478879,75.60522432919831,60.0743210011476,18.90813705666976,7.820099458986832
Bay of Plenty,2018,5.628332063975628,7.852246763137852,11.426758060421427,15.927900482355927,41.77710078700178,10.855547093170856,6.532114749936532,94.37166793602437,86.51942117288652,75.09266311246509,59.164762630109166,17.387661843107395,6.5321147499365395
Tairawhiti,2018,6.129247168554297,7.328447701532312,10.766155896069288,15.58960692871419,39.61359093937375,11.512325116588942,9.073950699533643,93.8707528314457,86.54230512991339,75.77614923384411,60.18654230512991,20.572951365756154,9.060626249167214
Taranaki,2018,5.648940505297474,7.655867970660147,10.737571312143439,14.659739201303992,42.52750611246944,10.406479217603911,8.363895680521598,94.35105949470253,86.69519152404237,75.95762021189894,61.29788101059495,18.77037489812551,8.363895680521594
Hawke's Bay,2018,5.845811339724945,7.282128622212647,10.323530467880355,14.384717584114332,43.11465402707458,11.856799166935977,7.185177205644727,94.15418866027505,86.87206003806241,76.54852957018205,62.16381198606772,19.049157958993135,7.192358792057163
Whanganui,2018,6.372549019607843,8.019607843137255,11.049019607843137,15.911764705882353,40.32352941176471,10.950980392156863,7.372549019607844,93.62745098039215,85.6078431372549,74.55882352941177,58.64705882352941,18.323529411764696,7.372549019607831
MidCentral,2018,6.128570930273117,7.631936935365726,9.920122780703897,15.030171962747218,43.04300812724546,11.085144232446197,7.15755694303952,93.87142906972689,86.23949213436116,76.31936935365727,61.28919739091004,18.246189263664576,7.161045031218379
Hutt Valley,2018,5.281974397416676,6.446776611694154,8.634144466228424,15.407680774997118,50.8322761696075,8.933994541190943,4.463153038865183,94.71802560258332,88.27124899088918,79.63710452466074,64.22942374966362,13.397147580056128,4.463153038865187
Capital & Coast,2018,5.269642354266404,7.040270346381301,8.666572796395382,16.326386933258238,48.33849619825401,10.085187271191213,4.275204167840045,94.73035764573359,87.6900872993523,79.02351450295691,62.69712756969868,14.358631371444659,4.2734441002534425
Wairarapa,2018,6.023627158250033,8.256523432428924,11.514994158120214,15.513436323510321,40.17915098013761,11.008697909905232,7.52953394781254,93.97637284174996,85.71984940932104,74.20485525120083,58.691418927690506,18.5122679475529,7.503570037647663
