"cancer","category","rf","cor","pvalue","p.adj","sign","group","group2"
"Bladder","Air quality","PM10_concentration_max",-0.00663616422648253,0.951069882509098,0.951069882509098,"neg","Social","Air quality"
"Bladder","Air quality","PM10_concentration_mean",0.0162568586892526,0.880502498792353,0.951069882509098,"pos","Social","Air quality"
"Bladder","Air quality","PM2.5_concentration_max",-0.165929574037956,0.163621221941025,0.32724244388205,"neg","Social","Air quality"
"Bladder","Air quality","PM2.5_concentration_mean",-0.241393271306533,0.0410764260283664,0.164305704113466,"neg","Social","Air quality"
"Breast","Air quality","PM10_concentration_max",-0.0588117767728316,0.586244375237219,0.638660497497995,"neg","Social","Air quality"
"Breast","Air quality","PM10_concentration_mean",0.0507499531736102,0.638660497497995,0.638660497497995,"pos","Social","Air quality"
"Breast","Air quality","PM2.5_concentration_max",-0.184156815842795,0.121489651149098,0.242979302298196,"neg","Social","Air quality"
"Breast","Air quality","PM2.5_concentration_mean",-0.278180208168903,0.0179798352045443,0.0719193408181771,"neg","Social","Air quality"
"Colorectal","Air quality","PM10_concentration_max",0.298256875121923,0.0047660564912263,0.0095321129824526,"pos","Social","Air quality"
"Colorectal","Air quality","PM10_concentration_mean",0.134689387173228,0.210882472223346,0.210882472223346,"pos","Social","Air quality"
"Colorectal","Air quality","PM2.5_concentration_max",0.343846195062189,0.00310337737203781,0.0095321129824526,"pos","Social","Air quality"
"Colorectal","Air quality","PM2.5_concentration_mean",0.21813627997078,0.0656524735173678,0.0875366313564905,"pos","Social","Air quality"
"Kidney","Air quality","PM10_concentration_max",0.1885399944223,0.0785457517089455,0.267914438445473,"pos","Social","Air quality"
"Kidney","Air quality","PM10_concentration_mean",0.161017436746082,0.133957219222737,0.267914438445473,"pos","Social","Air quality"
"Kidney","Air quality","PM2.5_concentration_max",0.0497649173723915,0.678042066801949,0.816057104786339,"pos","Social","Air quality"
"Kidney","Air quality","PM2.5_concentration_mean",-0.0278973491707822,0.816057104786339,0.816057104786339,"neg","Social","Air quality"
"Leukaemia","Air quality","PM10_concentration_max",-0.0747600942158782,0.488777859364061,0.780248745678858,"neg","Social","Air quality"
"Leukaemia","Air quality","PM10_concentration_mean",-0.125546009329455,0.243814762450052,0.780248745678858,"neg","Social","Air quality"
"Leukaemia","Air quality","PM2.5_concentration_max",0.0453025610431283,0.705526104356167,0.780248745678858,"pos","Social","Air quality"
"Leukaemia","Air quality","PM2.5_concentration_mean",-0.0334561912749741,0.780248745678858,0.780248745678858,"neg","Social","Air quality"
"Lung","Air quality","PM10_concentration_max",-0.177829293152938,0.0974033915656032,0.24317089180734,"neg","Social","Air quality"
"Lung","Air quality","PM10_concentration_mean",-0.166260000664244,0.12158544590367,0.24317089180734,"neg","Social","Air quality"
"Lung","Air quality","PM2.5_concentration_max",0.00687987763807049,0.954261083599135,0.954261083599135,"pos","Social","Air quality"
"Lung","Air quality","PM2.5_concentration_mean",-0.0738331134250085,0.537648811254192,0.716865081672255,"neg","Social","Air quality"
"Melanoma","Air quality","PM10_concentration_max",0.158760716945421,0.139568259628073,0.2471838871445,"pos","Social","Air quality"
"Melanoma","Air quality","PM10_concentration_mean",0.0707569034183246,0.512409941151424,0.512409941151424,"pos","Social","Air quality"
"Melanoma","Air quality","PM2.5_concentration_max",0.157857900375596,0.185387915358375,0.2471838871445,"pos","Social","Air quality"
"Melanoma","Air quality","PM2.5_concentration_mean",0.401305587780818,0.000476418623729988,0.00190567449491995,"pos","Social","Air quality"
"Non-Hodgkin lymphoma","Air quality","PM10_concentration_max",-0.108631319619669,0.313710577200309,0.605465706317533,"neg","Social","Air quality"
"Non-Hodgkin lymphoma","Air quality","PM10_concentration_mean",-0.173577496344098,0.105808802351914,0.423235209407657,"neg","Social","Air quality"
"Non-Hodgkin lymphoma","Air quality","PM2.5_concentration_max",0.0619017188146477,0.605465706317533,0.605465706317533,"pos","Social","Air quality"
"Non-Hodgkin lymphoma","Air quality","PM2.5_concentration_mean",-0.0705827649385719,0.55574838137894,0.605465706317533,"neg","Social","Air quality"
"Ovarian","Air quality","PM10_concentration_max",-0.00809476256152043,0.940333208733014,0.940333208733014,"neg","Social","Air quality"
"Ovarian","Air quality","PM10_concentration_mean",-0.0899082475059433,0.404820082023995,0.539760109365327,"neg","Social","Air quality"
"Ovarian","Air quality","PM2.5_concentration_max",-0.155304409673899,0.192691529114173,0.385383058228346,"neg","Social","Air quality"
"Ovarian","Air quality","PM2.5_concentration_mean",-0.298625648628073,0.0108341631531232,0.0433366526124927,"neg","Social","Air quality"
"Pancreas","Air quality","PM10_concentration_max",-0.150398265887114,0.161915711734421,0.161915711734421,"neg","Social","Air quality"
"Pancreas","Air quality","PM10_concentration_mean",-0.205583775133356,0.0546622720087025,0.0773634423810975,"neg","Social","Air quality"
"Pancreas","Air quality","PM2.5_concentration_max",-0.232735568603024,0.0491404767311003,0.0773634423810975,"neg","Social","Air quality"
"Pancreas","Air quality","PM2.5_concentration_mean",-0.224458846887762,0.0580225817858231,0.0773634423810975,"neg","Social","Air quality"
"Prostate","Air quality","PM10_concentration_max",0.0981363238292947,0.363014722871737,0.726029445743473,"pos","Social","Air quality"
"Prostate","Air quality","PM10_concentration_mean",0.160853038463051,0.134360094073271,0.537440376293083,"pos","Social","Air quality"
"Prostate","Air quality","PM2.5_concentration_max",-0.0715894985883049,0.550111401388088,0.733481868517451,"neg","Social","Air quality"
"Prostate","Air quality","PM2.5_concentration_mean",-0.000230769884208338,0.998464969699668,0.998464969699668,"neg","Social","Air quality"
"Testis","Air quality","PM10_concentration_max",0.154763910012987,0.149939253548377,0.599757014193509,"pos","Social","Air quality"
"Testis","Air quality","PM10_concentration_mean",0.0368902367207702,0.73293103736593,0.73293103736593,"pos","Social","Air quality"
"Testis","Air quality","PM2.5_concentration_max",-0.0855268891241931,0.47502376237423,0.633365016498973,"neg","Social","Air quality"
"Testis","Air quality","PM2.5_concentration_mean",-0.0945381923300472,0.429577273398504,0.633365016498973,"neg","Social","Air quality"
"Thyroid","Air quality","PM10_concentration_max",-0.146501038162554,0.173193887506756,0.173193887506756,"neg","Social","Air quality"
"Thyroid","Air quality","PM10_concentration_mean",-0.22188844928754,0.0377358750310313,0.0503145000413751,"neg","Social","Air quality"
"Thyroid","Air quality","PM2.5_concentration_max",-0.394728982694558,0.000600854320861303,0.00120170864172261,"neg","Social","Air quality"
"Thyroid","Air quality","PM2.5_concentration_mean",-0.470467137758755,3.04333683280689e-05,0.000121733473312276,"neg","Social","Air quality"
"Uterine","Air quality","PM10_concentration_max",-0.197650575475512,0.0649109770793442,0.0865479694391257,"neg","Social","Air quality"
"Uterine","Air quality","PM10_concentration_mean",-0.139990125942023,0.193305320857978,0.193305320857978,"neg","Social","Air quality"
"Uterine","Air quality","PM2.5_concentration_max",-0.433510684269939,0.000142406943419617,0.000284813886839234,"neg","Social","Air quality"
"Uterine","Air quality","PM2.5_concentration_mean",-0.570882387125848,1.63978409086932e-07,6.55913636347729e-07,"neg","Social","Air quality"
"Breast","Birth Number","> 0 children",-0.0895925510082871,0.582475256439677,0.877063818352263,"neg","Social","Birth Number"
"Breast","Birth Number","> 1 children",-0.106541861016398,0.512899772234275,0.877063818352263,"neg","Social","Birth Number"
"Breast","Birth Number","> 2 children",-0.102923467182372,0.527396309424317,0.877063818352263,"neg","Social","Birth Number"
"Breast","Birth Number","> 3 children",-0.0819237516584755,0.61528244450607,0.877063818352263,"neg","Social","Birth Number"
"Breast","Birth Number","> 4 children",-0.0540165732875897,0.740614634742329,0.877063818352263,"neg","Social","Birth Number"
"Breast","Birth Number","> 5 children",-0.0972676517129599,0.550449918827504,0.877063818352263,"neg","Social","Birth Number"
"Breast","Birth Number","Five children",0.0168090440725223,0.918005976557997,0.918005976557997,"pos","Social","Birth Number"
"Breast","Birth Number","Four children",-0.106856797943644,0.511647525069268,0.877063818352263,"neg","Social","Birth Number"
"Breast","Birth Number","No children",0.089592551008287,0.582475256439678,0.877063818352263,"pos","Social","Birth Number"
"Breast","Birth Number","One child",0.145622191218187,0.369941299505129,0.877063818352263,"pos","Social","Birth Number"
"Breast","Birth Number","Six or more children",0.0386305493115363,0.812919115164908,0.880662374761983,"pos","Social","Birth Number"
"Breast","Birth Number","Three children",-0.119200250408461,0.463801881779769,0.877063818352263,"neg","Social","Birth Number"
"Breast","Birth Number","Two children",-0.053689600784684,0.742130923221146,0.877063818352263,"neg","Social","Birth Number"
"Bladder","Earthquake","counts",0.0489293164530147,0.491427581999539,0.566241398175577,"pos","Environment","Earthquake"
"Bladder","Earthquake","depth_max",-0.0407981759331747,0.566241398175577,0.566241398175577,"neg","Environment","Earthquake"
"Bladder","Earthquake","depth_mean",0.0556275089463386,0.433999046005643,0.566241398175577,"pos","Environment","Earthquake"
"Bladder","Earthquake","magnitude_max",-0.121267527831176,0.0871640634634672,0.248709673073884,"neg","Environment","Earthquake"
"Bladder","Earthquake","magnitude_mean",-0.116819067661839,0.0994838692295535,0.248709673073884,"neg","Environment","Earthquake"
"Breast","Earthquake","counts",-0.0415625896029737,0.558983441540749,0.798729208051666,"neg","Environment","Earthquake"
"Breast","Earthquake","depth_max",-0.0333717763506237,0.638983366441332,0.798729208051666,"neg","Environment","Earthquake"
"Breast","Earthquake","depth_mean",-0.0161648393633217,0.820278113065913,0.820278113065913,"neg","Environment","Earthquake"
"Breast","Earthquake","magnitude_max",-0.0571739717404569,0.421309186857248,0.798729208051666,"neg","Environment","Earthquake"
"Breast","Earthquake","magnitude_mean",-0.0436746501050011,0.539166125428698,0.798729208051666,"neg","Environment","Earthquake"
"Colorectal","Earthquake","counts",0.137728056152621,0.0517944194942208,0.0517944194942208,"pos","Environment","Earthquake"
"Colorectal","Earthquake","depth_max",0.163786090280034,0.0204798680642214,0.034133113440369,"pos","Environment","Earthquake"
"Colorectal","Earthquake","depth_mean",0.148685350056525,0.0356197038136292,0.0445246297670365,"pos","Environment","Earthquake"
"Colorectal","Earthquake","magnitude_max",0.324054428429289,2.85435387935261e-06,7.13588469838152e-06,"pos","Environment","Earthquake"
"Colorectal","Earthquake","magnitude_mean",0.350105171497775,3.7355631707839e-07,1.86778158539195e-06,"pos","Environment","Earthquake"
"Kidney","Earthquake","counts",0.0279065315205418,0.694865647646009,0.847393286930735,"pos","Environment","Earthquake"
"Kidney","Earthquake","depth_max",0.0352577412258573,0.620142402789826,0.847393286930735,"pos","Environment","Earthquake"
"Kidney","Earthquake","depth_mean",0.0407586075645009,0.566618310255007,0.847393286930735,"pos","Environment","Earthquake"
"Kidney","Earthquake","magnitude_max",-0.01369314015278,0.847393286930735,0.847393286930735,"neg","Environment","Earthquake"
"Kidney","Earthquake","magnitude_mean",-0.0349764957638273,0.62293681624946,0.847393286930735,"neg","Environment","Earthquake"
"Leukaemia","Earthquake","counts",0.0220586927016521,0.756530998992276,0.942508990133161,"pos","Environment","Earthquake"
"Leukaemia","Earthquake","depth_max",-0.00983233806936365,0.890096561561329,0.942508990133161,"neg","Environment","Earthquake"
"Leukaemia","Earthquake","depth_mean",-0.0134446561343781,0.850129725757492,0.942508990133161,"neg","Environment","Earthquake"
"Leukaemia","Earthquake","magnitude_max",0.00513155617703756,0.942508990133161,0.942508990133161,"pos","Environment","Earthquake"
"Leukaemia","Earthquake","magnitude_mean",-0.0380147478465565,0.593041859989056,0.942508990133161,"neg","Environment","Earthquake"
"Lung","Earthquake","counts",-0.000514684746938134,0.994228856848144,0.994228856848144,"neg","Environment","Earthquake"
"Lung","Earthquake","depth_max",0.0957827360152358,0.177277230673562,0.88638615336781,"pos","Environment","Earthquake"
"Lung","Earthquake","depth_mean",0.047632129542083,0.502999283433117,0.994228856848144,"pos","Environment","Earthquake"
"Lung","Earthquake","magnitude_max",0.0279175882149237,0.694750785151564,0.994228856848144,"pos","Environment","Earthquake"
"Lung","Earthquake","magnitude_mean",-0.0130281027498819,0.854721039705572,0.994228856848144,"neg","Environment","Earthquake"
"Melanoma","Earthquake","counts",-0.0273274618519411,0.700890974649423,0.700890974649423,"neg","Environment","Earthquake"
"Melanoma","Earthquake","depth_max",0.308496473966643,8.81640569221536e-06,2.20410142305384e-05,"pos","Environment","Earthquake"
"Melanoma","Earthquake","depth_mean",0.373405520687057,5.15372656055827e-08,2.57686328027913e-07,"pos","Environment","Earthquake"
"Melanoma","Earthquake","magnitude_max",0.155129693776145,0.0282778850793572,0.0471298084655953,"pos","Environment","Earthquake"
"Melanoma","Earthquake","magnitude_mean",0.0973399405519333,0.170304962322579,0.212881202903224,"pos","Environment","Earthquake"
"Non-Hodgkin lymphoma","Earthquake","counts",-0.00962520715203578,0.892397688371554,0.892397688371554,"neg","Environment","Earthquake"
"Non-Hodgkin lymphoma","Earthquake","depth_max",-0.0736971379738963,0.299683118384777,0.787356261369682,"neg","Environment","Earthquake"
"Non-Hodgkin lymphoma","Earthquake","depth_mean",-0.0510967447820435,0.472413756821809,0.787356261369682,"neg","Environment","Earthquake"
"Non-Hodgkin lymphoma","Earthquake","magnitude_max",0.00991855447531346,0.889139007572228,0.892397688371554,"pos","Environment","Earthquake"
"Non-Hodgkin lymphoma","Earthquake","magnitude_mean",-0.0597382234011401,0.400750626450258,0.787356261369682,"neg","Environment","Earthquake"
"Ovarian","Earthquake","counts",-0.0200634673134692,0.77795104949503,0.818818508925792,"neg","Environment","Earthquake"
"Ovarian","Earthquake","depth_max",-0.0235673972234964,0.74045546861058,0.818818508925792,"neg","Environment","Earthquake"
"Ovarian","Earthquake","depth_mean",0.0861284373680527,0.225259824252602,0.818818508925792,"pos","Environment","Earthquake"
"Ovarian","Earthquake","magnitude_max",-0.0583674005814577,0.41166564287613,0.818818508925792,"neg","Environment","Earthquake"
"Ovarian","Earthquake","magnitude_mean",-0.0162984145051039,0.818818508925792,0.818818508925792,"neg","Environment","Earthquake"
"Pancreas","Earthquake","counts",0.0155916927269116,0.826547963467005,0.884947387724131,"pos","Environment","Earthquake"
"Pancreas","Earthquake","depth_max",0.0102961320977041,0.884947387724131,0.884947387724131,"pos","Environment","Earthquake"
"Pancreas","Earthquake","depth_mean",-0.0359111362508973,0.613671393061265,0.884947387724131,"neg","Environment","Earthquake"
"Pancreas","Earthquake","magnitude_max",-0.048710242940182,0.49337184360548,0.884947387724131,"neg","Environment","Earthquake"
"Pancreas","Earthquake","magnitude_mean",-0.0811401559623629,0.253376340784522,0.884947387724131,"neg","Environment","Earthquake"
"Prostate","Earthquake","counts",0.0669017566823877,0.346572482974971,0.462368569472179,"pos","Environment","Earthquake"
"Prostate","Earthquake","depth_max",-0.0162002206419731,0.819891433899977,0.819891433899977,"neg","Environment","Earthquake"
"Prostate","Earthquake","depth_mean",-0.0637391870326074,0.369894855577743,0.462368569472179,"neg","Environment","Earthquake"
"Prostate","Earthquake","magnitude_max",0.191699829768881,0.00654165345178813,0.0327082672589407,"pos","Environment","Earthquake"
"Prostate","Earthquake","magnitude_mean",0.101434939378019,0.152945600178347,0.382364000445867,"pos","Environment","Earthquake"
"Testis","Earthquake","counts",0.0736576260830503,0.299943006996263,0.499905011660439,"pos","Environment","Earthquake"
"Testis","Earthquake","depth_max",0.0877497500393952,0.216616487893937,0.499905011660439,"pos","Environment","Earthquake"
"Testis","Earthquake","depth_mean",0.0972812814695354,0.170563852382835,0.499905011660439,"pos","Environment","Earthquake"
"Testis","Earthquake","magnitude_max",-0.0121858820468801,0.864018894943927,0.916889353220489,"neg","Environment","Earthquake"
"Testis","Earthquake","magnitude_mean",-0.00742529996965978,0.916889353220489,0.916889353220489,"neg","Environment","Earthquake"
"Thyroid","Earthquake","counts",0.0235653134384602,0.740477596169187,0.740477596169187,"pos","Environment","Earthquake"
"Thyroid","Earthquake","depth_max",-0.102630456813041,0.148138580729347,0.192458403871521,"neg","Environment","Earthquake"
"Thyroid","Earthquake","depth_mean",-0.101184650529666,0.153966723097217,0.192458403871521,"neg","Environment","Earthquake"
"Thyroid","Earthquake","magnitude_max",-0.29681721711571,1.97325007048315e-05,4.93312517620787e-05,"neg","Environment","Earthquake"
"Thyroid","Earthquake","magnitude_mean",-0.326510593478729,2.37496316872839e-06,1.18748158436419e-05,"neg","Environment","Earthquake"
"Uterine","Earthquake","counts",-0.070117388617377,0.323834328151876,0.323834328151876,"neg","Environment","Earthquake"
"Uterine","Earthquake","depth_max",-0.120062121504121,0.0903749565057309,0.150624927509551,"neg","Environment","Earthquake"
"Uterine","Earthquake","depth_mean",-0.0744024768102406,0.295068849223054,0.323834328151876,"neg","Environment","Earthquake"
"Uterine","Earthquake","magnitude_max",-0.244463215084951,0.000485474944858612,0.00242737472429306,"neg","Environment","Earthquake"
"Uterine","Earthquake","magnitude_mean",-0.208818417720366,0.00300318595339137,0.00750796488347842,"neg","Environment","Earthquake"
"Bladder","Education","No qualification",-0.317119083036979,0.0461703353513098,0.103943995390168,"neg","Social","Education"
"Bladder","Education","level 1",-0.315881930738604,0.0470745412497318,0.103943995390168,"neg","Social","Education"
"Bladder","Education","level 10",0.220388173130469,0.171773148237551,0.189854532262557,"pos","Social","Education"
"Bladder","Education","level 2",-0.313817397154612,0.0486152513722876,0.103943995390168,"neg","Social","Education"
"Bladder","Education","level 3",0.303606811482601,0.0568428798866865,0.103943995390168,"pos","Social","Education"
"Bladder","Education","level 4",-0.230404572451701,0.152623837366679,0.178061143594459,"neg","Social","Education"
"Bladder","Education","level 5",0.0140321356984122,0.93151650767598,0.93151650767598,"pos","Social","Education"
"Bladder","Education","level 6",-0.129426568986749,0.426052342550635,0.447354959678167,"neg","Social","Education"
"Bladder","Education","level 7",0.299263825161985,0.0606633929951866,0.103943995390168,"pos","Social","Education"
"Bladder","Education","level 8",0.259254672655825,0.106217019687681,0.139409838340081,"pos","Social","Education"
